Rel Name,from.type,from.name,from.revision,to.type,to.name,to.revision,Override Settings,Create Trigger,Modify Trigger,Delete Trigger
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0018-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0032-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0025-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0026-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0029-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0028-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-TM-24-0030-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0036-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0049-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0034-2020,0,,,,
Classified Item,Document Family,03-产品实施通知单,B89C1076000097EC5E58D2DF0001217C,Document,P-VD-24-0043-2020,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-TM-05-0527-2019,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0276-2019,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0277-2019,0,,,,
Classified Item,Document Family,2022第1季度,B89C1076000188E461D3A31400001D55,ZTENEWTZD,P-06-0080-2022,0,,,,
Classified Item,Document Family,2022第1季度,B89C1076000188E461D3A31400001D55,ZTENEWTZD,P-06-0081-2022,0,,,,
Classified Item,Document Family,2022B89C107600001210603CAE1200014C18,B89C107600001210603CAE1200014C18,ZTENEWTZD,P-TM-05-0043-2022,0,,,,
Classified Item,Document Family,2022第4季度,B89C1076000188E461D3A31400001D55,ZTENEWTZD,P-06-0744-2022,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0506-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0495-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0525-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0526-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0515-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0504-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0502-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-TM-05-0531-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0540-2019,0,,,,
Classified Item,Document Family,05-技术通知单,B89C1076000048F85B752065000014E1,Document,P-VD-05-0538-2019,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0281-2019,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0282-2019,0,,,,
Classified Item,Document Family,06-技术变更通知单,B89C1076000048F85B752065000014E1,Document,P-VD-06-0280-2019,0,,,,
Classified Item,Document Family,新物料开发申请表,B89C10760000C0885E59B210000001B9,Document,DOC-0000966,0,,,,
